Alkan, Charles-Valentin
Arensky, Anton
Auer, Leopold
Bach, Carl Philipp Emanuel
Bach, Johann Christian
Bach, Johann Sebastian
Bach, Otto
Balakirev, Mily
Barjansky, Adolf
Bartok, Bela
Baumfelder, Friedrich
Bazzini, Antonio
Beach, Amy Marcy
Beethoven, Ludwig van
Behr, Franz
Bellini, Vincenzo
Berg, Alban
Berger, Wilhelm
Beriot, Charles-Auguste de
Berlioz, Hector
Bizet, Georges
Bloch, Ernest
Bloch, Jozsef
Blumenfeld, Sigismond
Blumenstengel, Albrecht
Blumenthal, Joseph von
Boccherini, Luigi
Bohm, Carl
Borodin, Aleksandr
Bott, Jean Joseph
Bottesini, Giovanni
Boulanger, Lili
Bowen, York
Brahms, Johannes
Brandts-Buys, Jan
Bruch, Max
Bruckner, Anton
Brzowski, Jozef
Bulow, Hans von
Burgmuller, Friedrich
Burgmuller, Norbert
Busoni, Ferruccio
Cassado, Gaspar
Chabrier, Emmanuel
Chadwick, George Whitefield
Chaminade, Cecile
Chausson, Ernest
Chopin, Frederic
Clementi, Muzio
Corelli, Arcangelo
Costanzi, Giovanni Battista
Cramer, Johann Baptist
Cui, Cesar
Curti, Carlo
Czerny, Carl
Dancla, Charles
Danzi, Franz
Debussy, Claude
Decker, Constantin
Delibes, Leo
Delius, Frederick
Dobrzynski, Ignacy Feliks
Dohnanyi, Erno
Donizetti, Gaetano
Donner, Max
Dont, Jakob
Doppler, Franz
Dotzauer, Friedrich
Dussek, Jan Ladislav
Dvorak, Antonin
Eisler, Hanns
Elgar, Edward
Enescu, George
Farrenc, Louise
Faure, Gabriel
Faust, Carl
Feinberg, Samuil
Ferraris, Francesco
Fitzenhagen, Wilhelm
Fleischmann, Otto
Flotow, Friedrich von
Franck, Cesar
Franck, Eduard
Franck, Richard
Francoeur, Francois
Fry, William Henry
Fuchs, Robert
Fuchs-Schonbach, Ernst
Furstenau, Anton-Bernard
Gilson, Paul
Glazunov, Aleksandr
Gliere, Reinhold
Glinka, Mikhail
Gluck, Christoph Willibald
Godowsky, Leopold
